"id","registry","crossreg_euctr_id","is_crossreg_eudract"
"NCT00395252","ClinicalTrials.gov","2005-005168-94",TRUE
"NCT00396981","ClinicalTrials.gov",NA,FALSE
"NCT00400387","ClinicalTrials.gov","2006-001984-53",TRUE
"NCT00402168","ClinicalTrials.gov",NA,FALSE
"NCT00402428","ClinicalTrials.gov",NA,FALSE
"NCT00402675","ClinicalTrials.gov",NA,FALSE
"NCT00404092","ClinicalTrials.gov","2006-001936-30",TRUE
"NCT00404144","ClinicalTrials.gov",NA,FALSE
"NCT00405756","ClinicalTrials.gov","2006-001865-41",TRUE
"NCT00409175","ClinicalTrials.gov",NA,FALSE
"NCT00410384","ClinicalTrials.gov",NA,FALSE
"NCT00410631","ClinicalTrials.gov",NA,FALSE
"NCT00412893","ClinicalTrials.gov","2006-003868-59",TRUE
"NCT00413036","ClinicalTrials.gov",NA,FALSE
"NCT00418574","ClinicalTrials.gov","2006-002801-30",TRUE
"NCT00419250","ClinicalTrials.gov",NA,FALSE
"NCT00419601","ClinicalTrials.gov",NA,FALSE
"NCT00422890","ClinicalTrials.gov","2006-001040-31",TRUE
"NCT00422916","ClinicalTrials.gov",NA,FALSE
"NCT00423124","ClinicalTrials.gov","2005-003587-34",TRUE
"NCT00428948","ClinicalTrials.gov","2006-002768-24",TRUE
"NCT00430118","ClinicalTrials.gov",NA,FALSE
"NCT00436592","ClinicalTrials.gov",NA,FALSE
"NCT00437385","ClinicalTrials.gov",NA,FALSE
"NCT00438451","ClinicalTrials.gov","2005-003324-19",TRUE
"NCT00440167","ClinicalTrials.gov",NA,FALSE
"NCT00445081","ClinicalTrials.gov","2006-003667-31",TRUE
"NCT00447187","ClinicalTrials.gov",NA,FALSE
"NCT00447304","ClinicalTrials.gov","2006-002056-14",TRUE
"NCT00449969","ClinicalTrials.gov",NA,FALSE
"NCT00456092","ClinicalTrials.gov",NA,FALSE
"NCT00460629","ClinicalTrials.gov",NA,FALSE
"NCT00461019","ClinicalTrials.gov",NA,FALSE
"NCT00464204","ClinicalTrials.gov","2006-004350-25",TRUE
"NCT00467857","ClinicalTrials.gov",NA,FALSE
"NCT00469638","ClinicalTrials.gov",NA,FALSE
"NCT00470626","ClinicalTrials.gov",NA,FALSE
"NCT00471848","ClinicalTrials.gov","2007-000902-55",TRUE
"NCT00473499","ClinicalTrials.gov",NA,FALSE
"NCT00478933","ClinicalTrials.gov",NA,FALSE
"NCT00479557","ClinicalTrials.gov","2006-002061-39",TRUE
"NCT00479661","ClinicalTrials.gov","2006-006030-17",TRUE
"NCT00480077","ClinicalTrials.gov",NA,FALSE
"NCT00481312","ClinicalTrials.gov",NA,FALSE
"NCT00495079","ClinicalTrials.gov",NA,FALSE
"NCT00496938","ClinicalTrials.gov",NA,FALSE
"NCT00501735","ClinicalTrials.gov",NA,FALSE
"NCT00504400","ClinicalTrials.gov","2006-006233-40",TRUE
"NCT00506688","ClinicalTrials.gov","2005-003870-88",TRUE
"NCT00507988","ClinicalTrials.gov",NA,FALSE
"NCT00509184","ClinicalTrials.gov","2006-001212-72",TRUE
"NCT00510965","ClinicalTrials.gov","2006-006233-49",TRUE
"NCT00512135","ClinicalTrials.gov","2006-005342-36",TRUE
"NCT00515814","ClinicalTrials.gov",NA,FALSE
"NCT00521664","ClinicalTrials.gov",NA,FALSE
"NCT00522834","ClinicalTrials.gov",NA,FALSE
"NCT00523393","ClinicalTrials.gov","2006-006573-24",TRUE
"NCT00528073","ClinicalTrials.gov","2007-001014-17",TRUE
"NCT00529503","ClinicalTrials.gov",NA,FALSE
"NCT00530348","ClinicalTrials.gov","2007-001161-14",TRUE
"NCT00530764","ClinicalTrials.gov",NA,FALSE
"NCT00533221","ClinicalTrials.gov","2005-002822-78",TRUE
"NCT00534079","ClinicalTrials.gov","2007-001548-36",TRUE
"NCT00534287","ClinicalTrials.gov","2006-006984-21",TRUE
"NCT00535379","ClinicalTrials.gov","2007-002142-37",TRUE
"NCT00535652","ClinicalTrials.gov",NA,FALSE
"NCT00536640","ClinicalTrials.gov","2006-004865-32",TRUE
"NCT00538356","ClinicalTrials.gov",NA,FALSE
"NCT00538928","ClinicalTrials.gov",NA,FALSE
"NCT00542308","ClinicalTrials.gov",NA,FALSE
"NCT00543049","ClinicalTrials.gov",NA,FALSE
"NCT00543686","ClinicalTrials.gov",NA,FALSE
"NCT00543881","ClinicalTrials.gov",NA,FALSE
"NCT00545103","ClinicalTrials.gov","2007-004896-20",TRUE
"NCT00547209","ClinicalTrials.gov",NA,FALSE
"NCT00547651","ClinicalTrials.gov",NA,FALSE
"NCT00548405","ClinicalTrials.gov","2007-001162-32",TRUE
"NCT00548899","ClinicalTrials.gov","2007-000124-41",TRUE
"NCT00550004","ClinicalTrials.gov",NA,FALSE
"NCT00550862","ClinicalTrials.gov",NA,FALSE
"NCT00552981","ClinicalTrials.gov",NA,FALSE
"NCT00556608","ClinicalTrials.gov",NA,FALSE
"NCT00557921","ClinicalTrials.gov","2007-005891-15",TRUE
"NCT00558311","ClinicalTrials.gov",NA,FALSE
"NCT00559442","ClinicalTrials.gov",NA,FALSE
"NCT00560794","ClinicalTrials.gov","2006-006520-19",TRUE
"NCT00567554","ClinicalTrials.gov","2006-005834-19",TRUE
"NCT00567736","ClinicalTrials.gov","2006-006390-24",TRUE
"NCT00568841","ClinicalTrials.gov","2005-005393-73",TRUE
"NCT00571155","ClinicalTrials.gov","2007-005063-96",TRUE
"NCT00571168","ClinicalTrials.gov","2004-004956-38",TRUE
"NCT00574132","ClinicalTrials.gov","2009-012748-17",TRUE
"NCT00574873","ClinicalTrials.gov","2007-003780-50",TRUE
"NCT00575146","ClinicalTrials.gov",NA,FALSE
"NCT00575588","ClinicalTrials.gov","2007-003998-55",TRUE
"NCT00579657","ClinicalTrials.gov",NA,FALSE
"NCT00583661","ClinicalTrials.gov",NA,FALSE
"NCT00583830","ClinicalTrials.gov",NA,FALSE
"NCT00598533","ClinicalTrials.gov",NA,FALSE
"NCT00598611","ClinicalTrials.gov","2006-003686-13",TRUE
"NCT00598637","ClinicalTrials.gov",NA,FALSE
"NCT00598676","ClinicalTrials.gov",NA,FALSE
"NCT00598715","ClinicalTrials.gov",NA,FALSE
"NCT00599547","ClinicalTrials.gov",NA,FALSE
"NCT00600444","ClinicalTrials.gov",NA,FALSE
"NCT00601510","ClinicalTrials.gov","2006-005792-17",TRUE
"NCT00604331","ClinicalTrials.gov",NA,FALSE
"NCT00604357","ClinicalTrials.gov",NA,FALSE
"NCT00605748","ClinicalTrials.gov",NA,FALSE
"NCT00605826","ClinicalTrials.gov",NA,FALSE
"NCT00610584","ClinicalTrials.gov",NA,FALSE
"NCT00611910","ClinicalTrials.gov",NA,FALSE
"NCT00612092","ClinicalTrials.gov",NA,FALSE
"NCT00615264","ClinicalTrials.gov",NA,FALSE
"NCT00615732","ClinicalTrials.gov",NA,FALSE
"NCT00617175","ClinicalTrials.gov",NA,FALSE
"NCT00618280","ClinicalTrials.gov",NA,FALSE
"NCT00618384","ClinicalTrials.gov",NA,FALSE
"NCT00626717","ClinicalTrials.gov",NA,FALSE
"NCT00627523","ClinicalTrials.gov","2007-003949-32",TRUE
"NCT00627640","ClinicalTrials.gov","2007-002964-90",TRUE
"NCT00630812","ClinicalTrials.gov",NA,FALSE
"NCT00630864","ClinicalTrials.gov",NA,FALSE
"NCT00631371","ClinicalTrials.gov","2007-003793-26",TRUE
"NCT00634881","ClinicalTrials.gov",NA,FALSE
"NCT00636181","ClinicalTrials.gov",NA,FALSE
"NCT00637169","ClinicalTrials.gov",NA,FALSE
"NCT00639743","ClinicalTrials.gov","2006-005328-18",TRUE
"NCT00640679","ClinicalTrials.gov",NA,FALSE
"NCT00640770","ClinicalTrials.gov",NA,FALSE
"NCT00644059","ClinicalTrials.gov","2007-003786-41",TRUE
"NCT00644826","ClinicalTrials.gov",NA,FALSE
"NCT00646334","ClinicalTrials.gov",NA,FALSE
"NCT00646412","ClinicalTrials.gov",NA,FALSE
"NCT00647049","ClinicalTrials.gov","2005-000615-99",TRUE
"NCT00647413","ClinicalTrials.gov",NA,FALSE
"NCT00650078","ClinicalTrials.gov","2007-003508-36",TRUE
"NCT00650143","ClinicalTrials.gov",NA,FALSE
"NCT00656136","ClinicalTrials.gov","2007-005983-28",TRUE
"NCT00658437","ClinicalTrials.gov","2007-000427-17",TRUE
"NCT00659789","ClinicalTrials.gov","2007-006302-13",TRUE
"NCT00660179","ClinicalTrials.gov",NA,FALSE
"NCT00662714","ClinicalTrials.gov",NA,FALSE
"NCT00664638","ClinicalTrials.gov",NA,FALSE
"NCT00664963","ClinicalTrials.gov",NA,FALSE
"NCT00665223","ClinicalTrials.gov",NA,FALSE
"NCT00667810","ClinicalTrials.gov","2007-005994-79",TRUE
"NCT00668759","ClinicalTrials.gov",NA,FALSE
"NCT00669227","ClinicalTrials.gov",NA,FALSE
"NCT00670254","ClinicalTrials.gov","2007-004401-10",TRUE
"NCT00670436","ClinicalTrials.gov",NA,FALSE
"NCT00672334","ClinicalTrials.gov","2007-002223-32",TRUE
"NCT00674700","ClinicalTrials.gov",NA,FALSE
"NCT00676143","ClinicalTrials.gov","2007-005995-14",TRUE
"NCT00677638","ClinicalTrials.gov",NA,FALSE
"NCT00678392","ClinicalTrials.gov","2008-001451-21",TRUE
"NCT00682305","ClinicalTrials.gov",NA,FALSE
"NCT00683696","ClinicalTrials.gov",NA,FALSE
"NCT00687869","ClinicalTrials.gov",NA,FALSE
"NCT00690118","ClinicalTrials.gov","2006-005410-13",TRUE
"NCT00690300","ClinicalTrials.gov","2005-004236-40",TRUE
"NCT00690898","ClinicalTrials.gov","2007-000155-34",TRUE
"NCT00698763","ClinicalTrials.gov",NA,FALSE
"NCT00701142","ClinicalTrials.gov","2007-004612-31",TRUE
"NCT00701662","ClinicalTrials.gov","2007-000710-37",TRUE
"NCT00705965","ClinicalTrials.gov",NA,FALSE
"NCT00707369","ClinicalTrials.gov","2006-005854-61",TRUE
"NCT00708162","ClinicalTrials.gov","2007-004225-26",TRUE
"NCT00710541","ClinicalTrials.gov",NA,FALSE
"NCT00711295","ClinicalTrials.gov",NA,FALSE
"NCT00711425","ClinicalTrials.gov",NA,FALSE
"NCT00711503","ClinicalTrials.gov","2007-007146-34",TRUE
"NCT00712101","ClinicalTrials.gov","2007-007864-63",TRUE
"NCT00712309","ClinicalTrials.gov",NA,FALSE
"NCT00714311","ClinicalTrials.gov",NA,FALSE
"NCT00714883","ClinicalTrials.gov",NA,FALSE
"NCT00715091","ClinicalTrials.gov","2007-007637-39",TRUE
"NCT00715637","ClinicalTrials.gov",NA,FALSE
"NCT00715806","ClinicalTrials.gov",NA,FALSE
"NCT00716079","ClinicalTrials.gov",NA,FALSE
"NCT00716833","ClinicalTrials.gov",NA,FALSE
"NCT00718692","ClinicalTrials.gov","2007-006081-15",TRUE
"NCT00719667","ClinicalTrials.gov",NA,FALSE
"NCT00722566","ClinicalTrials.gov","2008-000952-28",TRUE
"NCT00723411","ClinicalTrials.gov",NA,FALSE
"NCT00729703","ClinicalTrials.gov",NA,FALSE
"NCT00730548","ClinicalTrials.gov",NA,FALSE
"NCT00732953","ClinicalTrials.gov",NA,FALSE
"NCT00732979","ClinicalTrials.gov",NA,FALSE
"NCT00734747","ClinicalTrials.gov",NA,FALSE
"NCT00734942","ClinicalTrials.gov",NA,FALSE
"NCT00735280","ClinicalTrials.gov",NA,FALSE
"NCT00740831","ClinicalTrials.gov",NA,FALSE
"NCT00742547","ClinicalTrials.gov",NA,FALSE
"NCT00745745","ClinicalTrials.gov",NA,FALSE
"NCT00747487","ClinicalTrials.gov",NA,FALSE
"NCT00748202","ClinicalTrials.gov",NA,FALSE
"NCT00751465","ClinicalTrials.gov",NA,FALSE
"NCT00757159","ClinicalTrials.gov",NA,FALSE
"NCT00758017","ClinicalTrials.gov",NA,FALSE
"NCT00758277","ClinicalTrials.gov",NA,FALSE
"NCT00761475","ClinicalTrials.gov",NA,FALSE
"NCT00763659","ClinicalTrials.gov",NA,FALSE
"NCT00763971","ClinicalTrials.gov","2008-000679-90",TRUE
"NCT00764036","ClinicalTrials.gov","2007-004432-23",TRUE
"NCT00764881","ClinicalTrials.gov","2008-002263-13",TRUE
"NCT00764933","ClinicalTrials.gov",NA,FALSE
"NCT00765323","ClinicalTrials.gov",NA,FALSE
"NCT00769561","ClinicalTrials.gov",NA,FALSE
"NCT00772655","ClinicalTrials.gov","2006-005778-34",TRUE
"NCT00774072","ClinicalTrials.gov",NA,FALSE
"NCT00776633","ClinicalTrials.gov",NA,FALSE
"NCT00778752","ClinicalTrials.gov",NA,FALSE
"NCT00783120","ClinicalTrials.gov",NA,FALSE
"NCT00783159","ClinicalTrials.gov",NA,FALSE
"NCT00784654","ClinicalTrials.gov","2008-000720-10",TRUE
"NCT00785330","ClinicalTrials.gov",NA,FALSE
"NCT00786292","ClinicalTrials.gov",NA,FALSE
"NCT00786994","ClinicalTrials.gov","2008-002632-15",TRUE
"NCT00791141","ClinicalTrials.gov",NA,FALSE
"NCT00792220","ClinicalTrials.gov",NA,FALSE
"NCT00793663","ClinicalTrials.gov","2008-004132-20",TRUE
"NCT00798317","ClinicalTrials.gov",NA,FALSE
"NCT00798525","ClinicalTrials.gov","2006-003122-28",TRUE
"NCT00798967","ClinicalTrials.gov","2008-006193-15",TRUE
"NCT00800384","ClinicalTrials.gov",NA,FALSE
"NCT00801242","ClinicalTrials.gov","2008-003931-19",TRUE
"NCT00802906","ClinicalTrials.gov",NA,FALSE
"NCT00803205","ClinicalTrials.gov","2008-003924-52",TRUE
"NCT00803309","ClinicalTrials.gov",NA,FALSE
"NCT00804102","ClinicalTrials.gov",NA,FALSE
"NCT00804271","ClinicalTrials.gov","2008-005144-16",TRUE
"NCT00807456","ClinicalTrials.gov",NA,FALSE
"NCT00808236","ClinicalTrials.gov",NA,FALSE
"NCT00810043","ClinicalTrials.gov",NA,FALSE
"NCT00810992","ClinicalTrials.gov",NA,FALSE
"NCT00811421","ClinicalTrials.gov",NA,FALSE
"NCT00816660","ClinicalTrials.gov",NA,FALSE
"NCT00820365","ClinicalTrials.gov","2008-005903-25",TRUE
"NCT00822068","ClinicalTrials.gov",NA,FALSE
"NCT00823212","ClinicalTrials.gov",NA,FALSE
"NCT00827983","ClinicalTrials.gov",NA,FALSE
"NCT00831233","ClinicalTrials.gov","2008-004338-26",TRUE
"NCT00831467","ClinicalTrials.gov","2008-003967-37",TRUE
"NCT00832039","ClinicalTrials.gov","2007-004333-42",TRUE
"NCT00832611","ClinicalTrials.gov",NA,FALSE
"NCT00833248","ClinicalTrials.gov","2008-005232-33",TRUE
"NCT00833612","ClinicalTrials.gov",NA,FALSE
"NCT00835978","ClinicalTrials.gov","2008-007786-23",TRUE
"NCT00837603","ClinicalTrials.gov",NA,FALSE
"NCT00841256","ClinicalTrials.gov","2006-005911-82",TRUE
"NCT00844142","ClinicalTrials.gov","2005-002320-34",TRUE
"NCT00844649","ClinicalTrials.gov",NA,FALSE
"NCT00850031","ClinicalTrials.gov",NA,FALSE
"NCT00850629","ClinicalTrials.gov",NA,FALSE
"NCT00851578","ClinicalTrials.gov",NA,FALSE
"NCT00864253","ClinicalTrials.gov",NA,FALSE
"NCT00865917","ClinicalTrials.gov",NA,FALSE
"NCT00866255","ClinicalTrials.gov",NA,FALSE
"NCT00872612","ClinicalTrials.gov",NA,FALSE
"NCT00875992","ClinicalTrials.gov",NA,FALSE
"NCT00876551","ClinicalTrials.gov",NA,FALSE
"NCT00877305","ClinicalTrials.gov",NA,FALSE
"NCT00879229","ClinicalTrials.gov",NA,FALSE
"NCT00880724","ClinicalTrials.gov",NA,FALSE
"NCT00882375","ClinicalTrials.gov","2008-006845-13",TRUE
"NCT00884962","ClinicalTrials.gov",NA,FALSE
"NCT00886704","ClinicalTrials.gov",NA,FALSE
"NCT00887978","ClinicalTrials.gov",NA,FALSE
"NCT00888433","ClinicalTrials.gov",NA,FALSE
"NCT00888940","ClinicalTrials.gov",NA,FALSE
"NCT00893373","ClinicalTrials.gov","2008-004968-40",TRUE
"NCT00895778","ClinicalTrials.gov",NA,FALSE
"NCT00895830","ClinicalTrials.gov",NA,FALSE
"NCT00900146","ClinicalTrials.gov",NA,FALSE
"NCT00902889","ClinicalTrials.gov",NA,FALSE
"NCT00908362","ClinicalTrials.gov","2009-009459-40",TRUE
"NCT00909532","ClinicalTrials.gov",NA,FALSE
"NCT00909727","ClinicalTrials.gov",NA,FALSE
"NCT00911924","ClinicalTrials.gov",NA,FALSE
"NCT00913029","ClinicalTrials.gov",NA,FALSE
"NCT00915252","ClinicalTrials.gov",NA,FALSE
"NCT00916825","ClinicalTrials.gov",NA,FALSE
"NCT00917046","ClinicalTrials.gov",NA,FALSE
"NCT00918489","ClinicalTrials.gov","2008-008513-19",TRUE
"NCT00918619","ClinicalTrials.gov",NA,FALSE
"NCT00920504","ClinicalTrials.gov",NA,FALSE
"NCT00923312","ClinicalTrials.gov",NA,FALSE
"NCT00924638","ClinicalTrials.gov",NA,FALSE
"NCT00924989","ClinicalTrials.gov","2009-012820-97",TRUE
"NCT00925301","ClinicalTrials.gov","2009-013459-31",TRUE
"NCT00926900","ClinicalTrials.gov","2006-007090-72",TRUE
"NCT00927836","ClinicalTrials.gov","2008-006444-19",TRUE
"NCT00928122","ClinicalTrials.gov",NA,FALSE
"NCT00930813","ClinicalTrials.gov",NA,FALSE
"NCT00931463","ClinicalTrials.gov",NA,FALSE
"NCT00932100","ClinicalTrials.gov",NA,FALSE
"NCT00932893","ClinicalTrials.gov","2009-012595-27",TRUE
"NCT00933218","ClinicalTrials.gov",NA,FALSE
"NCT00934206","ClinicalTrials.gov",NA,FALSE
"NCT00938574","ClinicalTrials.gov","2008-005588-32",TRUE
"NCT00940095","ClinicalTrials.gov",NA,FALSE
"NCT00943111","ClinicalTrials.gov","2008-005223-28",TRUE
"NCT00943449","ClinicalTrials.gov",NA,FALSE
"NCT00943540","ClinicalTrials.gov",NA,FALSE
"NCT00944801","ClinicalTrials.gov",NA,FALSE
"NCT00947908","ClinicalTrials.gov",NA,FALSE
"NCT00949975","ClinicalTrials.gov",NA,FALSE
"NCT00950300","ClinicalTrials.gov","2008-007326-19",TRUE
"NCT00952458","ClinicalTrials.gov",NA,FALSE
"NCT00953108","ClinicalTrials.gov",NA,FALSE
"NCT00956566","ClinicalTrials.gov",NA,FALSE
"NCT00958477","ClinicalTrials.gov",NA,FALSE
"NCT00958776","ClinicalTrials.gov",NA,FALSE
"NCT00961181","ClinicalTrials.gov",NA,FALSE
"NCT00963261","ClinicalTrials.gov",NA,FALSE
"NCT00970437","ClinicalTrials.gov",NA,FALSE
"NCT00974077","ClinicalTrials.gov",NA,FALSE
"NCT00974779","ClinicalTrials.gov",NA,FALSE
"NCT00976521","ClinicalTrials.gov",NA,FALSE
"NCT00977925","ClinicalTrials.gov",NA,FALSE
"NCT00979056","ClinicalTrials.gov","2007-003986-42",TRUE
"NCT00979719","ClinicalTrials.gov",NA,FALSE
"NCT00979745","ClinicalTrials.gov",NA,FALSE
"NCT00983151","ClinicalTrials.gov",NA,FALSE
"NCT00985634","ClinicalTrials.gov",NA,FALSE
"NCT00986258","ClinicalTrials.gov","2009-010428-25",TRUE
"NCT00986323","ClinicalTrials.gov",NA,FALSE
"NCT00987077","ClinicalTrials.gov",NA,FALSE
"NCT00987324","ClinicalTrials.gov",NA,FALSE
"NCT00987532","ClinicalTrials.gov",NA,FALSE
"NCT00988208","ClinicalTrials.gov","2008-007969-23",TRUE
"NCT00988325","ClinicalTrials.gov","2009-014365-12",TRUE
"NCT00988754","ClinicalTrials.gov",NA,FALSE
"NCT00991211","ClinicalTrials.gov",NA,FALSE
"NCT00993408","ClinicalTrials.gov",NA,FALSE
"NCT00993681","ClinicalTrials.gov","2008-008726-75",TRUE
"NCT00995852","ClinicalTrials.gov",NA,FALSE
"NCT00996463","ClinicalTrials.gov",NA,FALSE
"NCT00996554","ClinicalTrials.gov",NA,FALSE
"NCT00997204","ClinicalTrials.gov","2008-000071-25",TRUE
"NCT00997841","ClinicalTrials.gov",NA,FALSE
"NCT00998439","ClinicalTrials.gov",NA,FALSE
"NCT00998907","ClinicalTrials.gov",NA,FALSE
"NCT00999856","ClinicalTrials.gov",NA,FALSE
"NCT01006993","ClinicalTrials.gov",NA,FALSE
"NCT01009138","ClinicalTrials.gov",NA,FALSE
"NCT01011322","ClinicalTrials.gov","2008-007952-90",TRUE
"NCT01012544","ClinicalTrials.gov",NA,FALSE
"NCT01014052","ClinicalTrials.gov",NA,FALSE
"NCT01014507","ClinicalTrials.gov",NA,FALSE
"NCT01017172","ClinicalTrials.gov",NA,FALSE
"NCT01021423","ClinicalTrials.gov",NA,FALSE
"NCT01022242","ClinicalTrials.gov","2009-012703-25",TRUE
"NCT01025167","ClinicalTrials.gov",NA,FALSE
"NCT01026233","ClinicalTrials.gov",NA,FALSE
"NCT01030666","ClinicalTrials.gov","2006-001367-36",TRUE
"NCT01035190","ClinicalTrials.gov","2009-012203-26",TRUE
"NCT01035242","ClinicalTrials.gov",NA,FALSE
"NCT01045746","ClinicalTrials.gov",NA,FALSE
"NCT01045772","ClinicalTrials.gov","2006-004290-97",TRUE
"NCT01049607","ClinicalTrials.gov",NA,FALSE
"NCT01051258","ClinicalTrials.gov",NA,FALSE
"NCT01055522","ClinicalTrials.gov","2005-002716-16",TRUE
"NCT01056341","ClinicalTrials.gov",NA,FALSE
"NCT01056744","ClinicalTrials.gov",NA,FALSE
"NCT01057043","ClinicalTrials.gov",NA,FALSE
"NCT01058343","ClinicalTrials.gov",NA,FALSE
"NCT01058980","ClinicalTrials.gov",NA,FALSE
"NCT01061229","ClinicalTrials.gov",NA,FALSE
"NCT01061489","ClinicalTrials.gov",NA,FALSE
"NCT01063829","ClinicalTrials.gov",NA,FALSE
"NCT01065311","ClinicalTrials.gov",NA,FALSE
"NCT01065337","ClinicalTrials.gov",NA,FALSE
"NCT01066962","ClinicalTrials.gov","2009-015113-44",TRUE
"NCT01068106","ClinicalTrials.gov",NA,FALSE
"NCT01070849","ClinicalTrials.gov",NA,FALSE
"NCT01072474","ClinicalTrials.gov",NA,FALSE
"NCT01078298","ClinicalTrials.gov",NA,FALSE
"NCT01079442","ClinicalTrials.gov",NA,FALSE
