"","nctid","anticipated_enrollment","actual_enrollment","has_summary_result","start_date","stop_date","trial_days","source","reason_for_termination","reason_category","primary_reason_recoded","combination_reason_category"
"43","NCT00586794",80,24,FALSE,"2007-12-01","2012-03-01",1552,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"44","NCT00623415",80,30,FALSE,"2007-12-01","2012-11-01",1797,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"45","NCT00628797",60,9,FALSE,"2008-02-01","2010-07-01",881,"Intovalue","lack of recruitement","non_scientific_reason","Low accrual rate","non_scientific_reason"
"46","NCT00647192",220,38,FALSE,"2008-03-01","2012-02-01",1432,"Intovalue","Inclusion rate too low. Recruitment of further study centers too costly.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"47","NCT00663455",50,50,FALSE,"2008-12-01","2012-12-01",1461,"Intovalue","Recruitment goals were not achieved. Extension of the trial concept had to be abjected due to methodological reasons.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"48","NCT00682747",100,13,FALSE,"2008-05-01","2011-03-01",1034,"Intovalue","poor recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"49","NCT00691912",6,26,FALSE,"2006-12-01","2013-12-01",2557,"Intovalue","Study was stopped due because recrutation.was much slower as anticipated.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"50","NCT00704002",80,9,FALSE,"2006-12-01","2010-02-01",1158,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"51","NCT00776191",25,5,FALSE,"2008-09-01","2012-05-01",1338,"Intovalue","al study sites stoped on 15&#x2F;05&#x2F;2012 because of insufficient recrutement.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"52","NCT00806468",20,1,FALSE,"2009-02-01","2010-12-01",668,"Intovalue","lack of recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"53","NCT00823225",130,5,FALSE,"2008-06-01","2011-05-01",1064,"Intovalue","Insufficient recruitment of study patients","non_scientific_reason","Low accrual rate","non_scientific_reason"
"54","NCT00852059",106,32,FALSE,"2009-03-01","2013-12-01",1736,"Intovalue","Diffculties to recruit anticipated study size, now analysis","non_scientific_reason","Low accrual rate","non_scientific_reason"
"55","NCT00866684",280,44,FALSE,"2007-01-01","2011-01-01",1461,"Intovalue","Insufficient patient recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"56","NCT00881257",50,78,FALSE,"2007-08-01","2009-11-01",823,"Intovalue","Data was inconclusive","scientific_reason","Evidence of futility","scientific_reason"
"57","NCT00887276",290,290,FALSE,"2008-11-01","2011-01-01",791,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"58","NCT00930241",48,25,FALSE,"2009-07-01","2012-07-01",1096,"Intovalue","logistic reasons (insufficient funding, technical problems with MEMS)","non_scientific_reason","Lack of funding","non_scientific_reason"
"59","NCT00932724",250,77,FALSE,"2009-07-01","2012-08-01",1127,"Intovalue","The sponsor declared the early termination of the study due to poor recruitment of patients.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"60","NCT00939939",40,3,FALSE,"2010-03-01","2011-05-01",426,"Intovalue","Recruitment failure","non_scientific_reason","Low accrual rate","non_scientific_reason"
"61","NCT00967343",70,40,TRUE,"2009-08-01","2012-02-01",914,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"62","NCT01058369",45,2,TRUE,"2010-04-01","2013-01-01",1006,"Intovalue","Insufficient patient recruitment (only 2 patients)","non_scientific_reason","Low accrual rate","non_scientific_reason"
"63","NCT01058759",216,14,FALSE,"2009-11-01","2011-02-01",457,"Intovalue","The external funding (pharmaceutical company) was stopped and could not be substituded by internal funding.","non_scientific_reason","Lack of funding","non_scientific_reason"
"64","NCT01069601",120,13,FALSE,"2010-02-01","2011-04-01",424,"Intovalue","End of H1N1 Swine Flu Pandemic","other","Other/unspecified reason",NA
"65","NCT01069965",300,196,FALSE,"2010-10-01","2013-08-01",1035,"Intovalue","Funding support withdrawn.","non_scientific_reason","Lack of funding","non_scientific_reason"
"66","NCT01071135",NA,5,FALSE,"2009-09-01","2010-08-01",334,"Intovalue","Planned number of 30 subjects could not be recruited during recruitment phase.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"67","NCT01088256",62,9,FALSE,"2011-02-01","2012-08-01",547,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"68","NCT01088308",30,18,FALSE,"2010-03-01","2012-05-01",792,"Intovalue","No enrollements for more than 6 months in Phase II","non_scientific_reason","Low accrual rate","non_scientific_reason"
"69","NCT01098565",25,6,FALSE,"2010-04-01","2011-11-01",579,"Intovalue","The goal of collecting proof-of-concept information was met through additional modeling studies, new published evidence and information collected from the study","scientific_reason","Evidence of benefit","scientific_reason"
"70","NCT01109966",228,34,FALSE,"2010-06-01","2012-10-01",853,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"71","NCT01199133",NA,471,FALSE,"2009-10-01","2011-01-01",457,"Intovalue","Following the DSMB recommendation. Study population being insufficiently symptomatic to enable differentiation between treatment and placebo. No safety concerns","scientific_reason","Evidence of futility","scientific_reason"
"72","NCT01199783",120,1,FALSE,"2011-07-01","2013-10-01",823,"Intovalue","Patient number to be enrolled not reachable in prospected time frame, decision to stop the study prematurely was made.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"73","NCT01231854",78,15,FALSE,"2010-11-01","2012-03-01",486,"Intovalue","delayed start of the trial, both treatment options already have market authorizations, study medication expired","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
"74","NCT01298830",20,11,FALSE,"2008-10-01","2011-06-01",973,"Intovalue","Need for improvement of study medication. Safety data collected sufficient. No further gain in knowledge expected.","scientific_reason","Evidence of harm","scientific_reason"
"75","NCT01320280",29,29,FALSE,"2011-05-01","2012-11-01",550,"Intovalue","unexpectedly slow recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"76","NCT01341340",90,2,FALSE,"2011-08-01","2012-11-01",458,"Intovalue","Discontinued due to poor enrollment. Insufficient number of patients enrolled to permit a statistically rigorous assessment of safety and efficacy.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"77","NCT01357460",25,18,FALSE,"2011-05-01","2014-09-24",1242,"Intovalue","difficult patient recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"78","NCT01363921",12,10,FALSE,"2011-04-01","2013-09-01",884,"Intovalue","insufficient patient recruiting","non_scientific_reason","Low accrual rate","non_scientific_reason"
"79","NCT01367691",20,1,FALSE,"2011-06-01","2013-12-01",914,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"80","NCT01374789",124,2,FALSE,"2010-07-01","2014-04-01",1370,"Intovalue","The study was terminated due to insufficient recruitment.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"81","NCT01409850",40,36,FALSE,"2010-07-01","2012-12-01",884,"Intovalue","Very slow enrollment of participants","non_scientific_reason","Low accrual rate","non_scientific_reason"
"82","NCT01410903",7,1,FALSE,"2011-04-01","2012-07-01",457,"Intovalue","inadequately recruitment rate, funding is not secured","non_scientific_reason","Low accrual rate","non_scientific_reason"
"83","NCT01434914",70,9,FALSE,"2011-10-01","2013-07-01",639,"Intovalue","early termination due to poor recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"84","NCT01447758",33,58,FALSE,"2011-09-01","2013-03-01",547,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"85","NCT01458015",52,5,FALSE,"2011-10-01","2013-11-01",762,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"86","NCT01531764",40,2,FALSE,"2012-07-01","2013-09-01",427,"Intovalue","The recruitment was discontinued because of failure to meet expected enrolment goals","non_scientific_reason","Low accrual rate","non_scientific_reason"
"87","NCT01551407",34,38,FALSE,"2011-12-01","2012-06-01",183,"Intovalue","slow inclusion rate","non_scientific_reason","Low accrual rate","non_scientific_reason"
"88","NCT01571895",12,4,FALSE,"2011-07-01","2012-06-01",336,"Intovalue","Lack of efficacy observed at 1&#x2F;3 of the enrollment at investigated dosage. No results available.","scientific_reason","Evidence of futility","scientific_reason"
"89","NCT01638585",211,34,FALSE,"2011-06-01","2012-11-01",519,"Intovalue","recruition number was not reached","non_scientific_reason","Low accrual rate","non_scientific_reason"
"90","NCT01701843",30,7,FALSE,"2012-10-01","2013-02-01",123,"Intovalue","prematurely terminated because of low recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"91","NCT01740544",40,16,FALSE,"2012-10-01","2012-12-01",61,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"92","NCT02188212",NA,53,FALSE,"2010-03-01","2013-11-01",1341,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"93","NCT00839059",40,14,FALSE,"2009-01-01","2011-05-01",850,"Intovalue","Results of an interim analysis and a hardly ongoing enrolment in the last 10 months in all six participating centres","scientific_reason","Evidence of futility","both_scientific_and_non_scientific"
"94","NCT01476553",64,30,FALSE,"2011-02-01","2013-12-01",1034,"Intovalue","Prematurely halted after interim data analysis","scientific_reason","Internal evidence (unspecified)","scientific_reason"
"95","NCT01589211",800,347,FALSE,"2011-12-16","2013-04-11",482,"Intovalue","Necessary number of participants not achieved and high drop out rate","non_scientific_reason","Low accrual rate","non_scientific_reason"
"96","NCT01352702",70,46,FALSE,"2011-05-01","2014-05-01",1096,"Intovalue","Slow recruitment; Study was terminated for futility reasons","scientific_reason","Evidence of futility","both_scientific_and_non_scientific"
"97","NCT02207582",60,44,FALSE,"2014-07-01","2017-01-01",915,"Intovalue","no efficacy","scientific_reason","Evidence of futility","scientific_reason"
"98","NCT02372318",25,23,FALSE,"2015-04-01","2016-05-01",396,"Intovalue","Anticipated nr of 25 probands was not reached in terms of full data sets (missing data, low fMRI data quality), but time frame for recruitment ended.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"99","NCT02129400",96,36,FALSE,"2014-05-01","2015-01-01",245,"Intovalue","The analysis of the blood samples was much expensive than calculated. The recruitment had to be stopped after 36 study participants.","non_scientific_reason","Lack of funding","non_scientific_reason"
"100","NCT02135926",600,4,FALSE,"2014-03-01","2018-02-01",1433,"Intovalue","Results from other RCT made randomization unethical.","scientific_reason","External evidence","scientific_reason"
"101","NCT01817738",200,197,FALSE,"2012-08-01","2016-08-01",1461,"Intovalue","Follow up period after primary analysis was prematurely stopped because more mature data will not impact the study outcome","scientific_reason","Internal evidence (unspecified)","scientific_reason"
"102","NCT02034279",512,136,FALSE,"2014-05-01","2016-12-31",975,"Intovalue","Low recruitment rate and expiration of the study drug","non_scientific_reason","Low accrual rate","non_scientific_reason"
"103","NCT02340299",68,6,TRUE,"2015-01-01","2017-12-31",1095,"Intovalue","Slow recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"104","NCT01647880",88,15,FALSE,"2013-07-01","2016-04-01",1005,"Intovalue","delayed recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"105","NCT01440062",80,55,FALSE,"2011-12-01","2018-12-01",2557,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"106","NCT01402739",116,100,FALSE,"2011-08-01","2015-06-01",1400,"Intovalue","Study terminated prematurely due to futility","scientific_reason","Evidence of futility","scientific_reason"
"107","NCT01111448",40,20,FALSE,"2010-04-01","2013-06-01",1157,"Intovalue","Unfavourable Risk-Benefit-Ratio","scientific_reason","Evidence of harm","scientific_reason"
"108","NCT02078986",50,50,FALSE,"2014-02-01","2015-02-01",365,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"109","NCT01569412",24,14,FALSE,"2012-03-01","2016-05-01",1522,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"110","NCT01067703",2070,1400,FALSE,"2010-12-01","2014-05-01",1247,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"111","NCT01853384",440,252,TRUE,"2013-11-01","2015-12-01",760,"Intovalue","based on outcome of trial NCT01656889.","scientific_reason","External evidence","scientific_reason"
"112","NCT01148264",86,23,FALSE,"2010-07-01","2013-10-01",1188,"Intovalue","poor enrolment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"113","NCT01203228",160,129,FALSE,"2004-05-01","2015-01-01",3897,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"114","NCT02384850",27,10,TRUE,"2015-03-01","2017-03-09",739,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"115","NCT01900327",410,32,FALSE,"2014-02-01","2016-11-22",1025,"Intovalue","Recruitment failure","non_scientific_reason","Low accrual rate","non_scientific_reason"
"116","NCT01405417",58,70,FALSE,"2011-04-01","2012-07-01",457,"Intovalue","not enough data collected","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
"117","NCT01931592",47,29,FALSE,"2014-01-01","2016-10-01",1004,"Intovalue","One of the study drugs was no longer available on a worldwide level.","non_scientific_reason","Lack of investigational product","non_scientific_reason"
"118","NCT01852526",40,5,FALSE,"2013-03-01","2017-02-01",1433,"Intovalue","device failure","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
"119","NCT02699034",35,5,FALSE,"2016-03-01","2017-03-01",365,"Intovalue","Recommendation by BfArM after interim analysis","scientific_reason","Internal evidence (unspecified)","scientific_reason"
"120","NCT02380937",30,8,FALSE,"2015-01-01","2015-08-01",212,"Intovalue","The study was terminated prematurely on 05May 2015 because of the unavailability of study devices.","non_scientific_reason","Lack of investigational product","non_scientific_reason"
"121","NCT00923793",150,53,FALSE,"2009-06-01","2014-04-01",1765,"Intovalue","Recruitment was stopped, due to slow recruitment rate","non_scientific_reason","Low accrual rate","non_scientific_reason"
"122","NCT01534455",80,43,FALSE,"2012-02-01","2015-03-01",1124,"Intovalue","very slow patient recruitment and concerns about the actuality of the study design","non_scientific_reason","Low accrual rate","non_scientific_reason"
"123","NCT02424552",160,54,FALSE,"2015-06-26","2017-02-09",594,"Intovalue","recruitment problems","non_scientific_reason","Low accrual rate","non_scientific_reason"
"124","NCT01679405",19,9,TRUE,"2012-08-01","2016-04-01",1339,"Intovalue","No sufficient clinical or molecular signals for efficacy were observed.","scientific_reason","Evidence of futility","scientific_reason"
"125","NCT01841632",12,3,TRUE,"2013-04-01","2016-12-01",1340,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"126","NCT01540344",60,26,FALSE,"2010-10-01","2015-09-01",1796,"Intovalue","Slow recruitment.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"127","NCT00950274",142,81,FALSE,"2009-07-01","2016-03-01",2435,"Intovalue","Recruitment stopped due to slow recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"128","NCT02052193",42,8,FALSE,"2014-01-01","2017-01-01",1096,"Intovalue","Second cohort not opened because Simon-Two_Step model failed","scientific_reason","Evidence of futility","scientific_reason"
"129","NCT01055522",129,102,FALSE,"2008-06-01","2013-02-01",1706,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"130","NCT02820519",12,4,FALSE,"2016-06-01","2017-07-21",415,"Intovalue","Intolerable high amount of adverse events","scientific_reason","Evidence of harm","scientific_reason"
"131","NCT01532453",300,244,TRUE,"2010-11-01","2014-01-01",1157,"Intovalue","For futility reasons and potential &quot;loss of chance&quot; for MD 3511356 group","scientific_reason","Evidence of futility","scientific_reason"
"132","NCT03854942",120,43,FALSE,"2011-08-30","2017-12-13",2297,"Intovalue","Recruitment rate could not be met in the study period, review group was dissolved before regular end of study. Recruitment was therefore terminated.","non_scientific_reason","Low accrual rate","non_scientific_reason"
"133","NCT02585752",NA,20,FALSE,"2015-10-01","2017-09-30",730,"Intovalue","Low recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"134","NCT02539680",30,18,FALSE,"2015-09-01","2017-10-01",761,"Intovalue","insufficiant recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"135","NCT02077309",60,4,FALSE,"2014-08-01","2015-09-01",396,"Intovalue","bad recruitment of suitable participants, just 4 patients in one year","non_scientific_reason","Low accrual rate","non_scientific_reason"
"136","NCT01941550",35,11,FALSE,"2013-07-01","2016-01-01",914,"Intovalue","Investigator left the site. Site closed.","non_scientific_reason","Principal investigator departure","non_scientific_reason"
"137","NCT01888796",60,8,FALSE,"2013-09-01","2014-12-01",456,"Intovalue","bad recruitment of suitable participants, just 8 patients in one year","non_scientific_reason","Low accrual rate","non_scientific_reason"
"138","NCT01341106",100,7,FALSE,"2011-04-01","2015-01-01",1371,"Intovalue","insufficient patient numbers have been recruited","non_scientific_reason","Low accrual rate","non_scientific_reason"
"139","NCT01266187",430,16,FALSE,"2011-07-01","2015-09-01",1523,"Intovalue","Recruitment difficulities","non_scientific_reason","Low accrual rate","non_scientific_reason"
"140","NCT01262729",100,5,FALSE,"2011-09-01","2014-11-01",1157,"Intovalue","Feasibility and Recruitment problems","non_scientific_reason","Low accrual rate","non_scientific_reason"
"141","NCT01242956",400,100,FALSE,"2011-09-01","2014-11-01",1157,"Intovalue","Problem to recruit sufficient patient number","non_scientific_reason","Low accrual rate","non_scientific_reason"
"142","NCT02475252",150,15,FALSE,"2015-04-01","2016-01-01",275,"Intovalue","Recruitment too slow; study completion not possible within frame","non_scientific_reason","Low accrual rate","non_scientific_reason"
"143","NCT01402414",50,10,FALSE,"2011-04-01","2014-02-01",1037,"Intovalue","Difficulties with the Recruitement","non_scientific_reason","Low accrual rate","non_scientific_reason"
"144","NCT01563614",9,1,FALSE,"2012-03-01","2015-11-01",1340,"Intovalue","No patients can be recruited for this trial anymore due to other therapeutical approaches that became available.","scientific_reason","External evidence","scientific_reason"
"145","NCT02726048",40,4,FALSE,"2016-04-01","2017-07-01",456,"Intovalue","Fisher &amp; Paykel Healthcare placed an administrative hold on the Simplus and Eson Non-Invasive Ventilation Evaluation study being conducted at Charite, Berlin","non_scientific_reason","Administrative, logistical, or technical issues","non_scientific_reason"
"146","NCT02019498",220,50,FALSE,"2014-04-01","2016-02-01",671,"Intovalue","Recruitment problems","non_scientific_reason","Low accrual rate","non_scientific_reason"
"147","NCT01523938",120,72,FALSE,"2012-03-01","2014-04-01",761,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"148","NCT01370044",288,96,FALSE,"2012-08-01","2015-06-01",1034,"Intovalue","results of interim analysis (not safety relevant)","scientific_reason","Evidence of futility","scientific_reason"
"149","NCT01259830",90,81,FALSE,"2011-03-01","2014-04-01",1127,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"150","NCT02157363",73,47,FALSE,"2014-06-01","2017-06-01",1096,"Intovalue","poor recruitment due to change of surgical technique","non_scientific_reason","Low accrual rate","non_scientific_reason"
"151","NCT01146821",21,7,FALSE,"2013-10-01","2017-04-01",1278,"Intovalue","Low enrollment&#x2F; expiration of the grant","non_scientific_reason","Low accrual rate","non_scientific_reason"
"152","NCT02595840",NA,4,FALSE,"2015-11-25","2017-11-20",726,"Intovalue","Futility","scientific_reason","Evidence of futility","scientific_reason"
"153","NCT02541357",108,4,FALSE,"2015-09-01","2017-03-01",547,"Intovalue","Recruitment insufficient","non_scientific_reason","Low accrual rate","non_scientific_reason"
"154","NCT02488694",210,4,FALSE,"2015-11-01","2017-12-01",761,"Intovalue","unsufficient recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"155","NCT02185703",100,51,FALSE,"2014-07-01","2015-07-01",365,"Intovalue","Too slow recruitment rate","non_scientific_reason","Low accrual rate","non_scientific_reason"
"156","NCT02150473",30,21,FALSE,"2014-10-01","2017-09-14",1079,"Intovalue","[No reason posted]","reason_not_provided","Reason not provided",NA
"157","NCT01755871",250,8,FALSE,"2013-01-01","2016-01-01",1095,"Intovalue","lack of recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"158","NCT00977132",80,23,FALSE,"2009-10-01","2012-08-01",1035,"Intovalue","delayed recruitment","non_scientific_reason","Low accrual rate","non_scientific_reason"
"159","NCT01176214",100,7,FALSE,"2010-07-01","2014-04-01",1370,"Intovalue","slow recruitment of patients","non_scientific_reason","Low accrual rate","non_scientific_reason"
