"nctid","reason_for_termination","anticipated_enrollment","actual_enrollment","has_summary_result","start_date","stop_date","trial_days","source"
"NCT01410903","inadequately recruitment rate, funding is not secured",7,1,FALSE,"2011-04-01","2012-07-01",458,"Intovalue"
"NCT01434914","early termination due to poor recruitment",70,9,FALSE,"2011-10-01","2013-07-01",640,"Intovalue"
"NCT01447758","no reason posted",33,58,FALSE,"2011-09-01","2013-03-01",548,"Intovalue"
"NCT01458015","no reason posted",52,5,FALSE,"2011-10-01","2013-11-01",763,"Intovalue"
"NCT01531764","The recruitment was discontinued because of failure to meet expected enrolment goals",40,2,FALSE,"2012-07-01","2013-09-01",428,"Intovalue"
"NCT01551407","slow inclusion rate",34,38,FALSE,"2011-12-01","2012-06-01",184,"Intovalue"
"NCT01571895","Lack of efficacy observed at 1&#x2F;3 of the enrollment at investigated dosage. No results available.",12,4,FALSE,"2011-07-01","2012-06-01",337,"Intovalue"
"NCT01638585","recruition number was not reached",211,34,FALSE,"2011-06-01","2012-11-01",520,"Intovalue"
"NCT01701843","prematurely terminated because of low recruitment",30,7,FALSE,"2012-10-01","2013-02-01",124,"Intovalue"
"NCT01740544","no reason posted",40,16,FALSE,"2012-10-01","2012-12-01",62,"Intovalue"
"NCT02188212","no reason posted",53,53,FALSE,"2010-03-01","2013-11-01",1342,"Intovalue"
"NCT00839059","Results of an interim analysis and a hardly ongoing enrolment in the last 10 months in all six participating centres",40,14,FALSE,"2009-01-01","2011-05-01",851,"Intovalue"
"NCT01476553","Prematurely halted after interim data analysis",64,30,FALSE,"2011-02-01","2013-12-01",1035,"Intovalue"
"NCT01589211","Necessary number of participants not achieved and high drop out rate",800,347,FALSE,"2011-12-16","2013-04-11",483,"Intovalue"
"NCT01352702","Slow recruitment; Study was terminated for futility reasons",70,46,FALSE,"2011-05-01","2014-05-01",1097,"Intovalue"
"NCT02207582","no efficacy",60,44,FALSE,"2014-07-01","2017-01-01",916,"Intovalue"
"NCT02372318","Anticipated nr of 25 probands was not reached in terms of full data sets (missing data, low fMRI data quality), but time frame for recruitment ended.",25,23,FALSE,"2015-04-01","2016-05-01",397,"Intovalue"
"NCT02129400","The analysis of the blood samples was much expensive than calculated. The recruitment had to be stopped after 36 study participants.",96,36,FALSE,"2014-05-01","2015-01-01",246,"Intovalue"
"NCT02135926","Results from other RCT made randomization unethical.",600,4,FALSE,"2014-03-01","2018-02-01",1434,"Intovalue"
"NCT01817738","Follow up period after primary analysis was prematurely stopped because more mature data will not impact the study outcome",200,197,FALSE,"2012-08-01","2016-08-01",1462,"Intovalue"
"NCT02034279","Low recruitment rate and expiration of the study drug",512,136,FALSE,"2014-05-01","2016-12-31",976,"Intovalue"
"NCT02340299","Slow recruitment",68,6,TRUE,"2015-01-01","2017-12-31",1096,"Intovalue"
"NCT01647880","delayed recruitment",88,15,FALSE,"2013-07-01","2016-04-01",1006,"Intovalue"
"NCT01440062","no reason posted",80,55,FALSE,"2011-12-01","2018-12-01",2558,"Intovalue"
"NCT01402739","Study terminated prematurely due to futility",116,100,FALSE,"2011-08-01","2015-06-01",1401,"Intovalue"
"NCT01111448","Unfavourable Risk-Benefit-Ratio",40,20,FALSE,"2010-04-01","2013-06-01",1158,"Intovalue"
"NCT02078986","no reason posted",50,50,FALSE,"2014-02-01","2015-02-01",366,"Intovalue"
"NCT01569412","no reason posted",24,14,FALSE,"2012-03-01","2016-05-01",1523,"Intovalue"
"NCT01067703","no reason posted",2070,1400,FALSE,"2010-12-01","2014-05-01",1248,"Intovalue"
"NCT01853384","based on outcome of trial NCT01656889.",440,252,TRUE,"2013-11-01","2015-12-01",761,"Intovalue"
"NCT01148264","poor enrolment",86,23,FALSE,"2010-07-01","2013-10-01",1189,"Intovalue"
"NCT01203228","no reason posted",160,129,FALSE,"2004-05-01","2015-01-01",3898,"Intovalue"
"NCT02384850","no reason posted",27,10,TRUE,"2015-03-01","2017-03-09",740,"Intovalue"
"NCT01900327","Recruitment failure",410,32,FALSE,"2014-02-01","2016-11-22",1026,"Intovalue"
"NCT01405417","not enough data collected",58,70,FALSE,"2011-04-01","2012-07-01",458,"Intovalue"
"NCT01931592","One of the study drugs was no longer available on a worldwide level.",47,29,FALSE,"2014-01-01","2016-10-01",1005,"Intovalue"
"NCT01852526","device failure",40,5,FALSE,"2013-03-01","2017-02-01",1434,"Intovalue"
"NCT02699034","Recommendation by BfArM after interim analysis",35,5,FALSE,"2016-03-01","2017-03-01",366,"Intovalue"
"NCT02380937","The study was terminated prematurely on 05May 2015 because of the unavailability of study devices.",30,8,FALSE,"2015-01-01","2015-08-01",213,"Intovalue"
"NCT00923793","Recruitment was stopped, due to slow recruitment rate",150,53,FALSE,"2009-06-01","2014-04-01",1766,"Intovalue"
"NCT01534455","very slow patient recruitment and concerns about the actuality of the study design",80,43,FALSE,"2012-02-01","2015-03-01",1125,"Intovalue"
"NCT02424552","recruitment problems",160,54,FALSE,"2015-06-26","2017-02-09",595,"Intovalue"
"NCT01679405","No sufficient clinical or molecular signals for efficacy were observed.",19,9,TRUE,"2012-08-01","2016-04-01",1340,"Intovalue"
"NCT01841632","no reason posted",12,3,TRUE,"2013-04-01","2016-12-01",1341,"Intovalue"
"NCT01540344","Slow recruitment.",60,26,FALSE,"2010-10-01","2015-09-01",1797,"Intovalue"
"NCT00950274","Recruitment stopped due to slow recruitment",142,81,FALSE,"2009-07-01","2016-03-01",2436,"Intovalue"
"NCT02052193","Second cohort not opened because Simon-Two_Step model failed",42,8,FALSE,"2014-01-01","2017-01-01",1097,"Intovalue"
"NCT01055522","no reason posted",129,102,FALSE,"2008-06-01","2013-02-01",1707,"Intovalue"
"NCT02820519","Intolerable high amount of adverse events",12,4,FALSE,"2016-06-01","2017-07-21",416,"Intovalue"
"NCT01532453","For futility reasons and potential &quot;loss of chance&quot; for MD 3511356 group",300,244,TRUE,"2010-11-01","2014-01-01",1158,"Intovalue"
"NCT03854942","Recruitment rate could not be met in the study period, review group was dissolved before regular end of study. Recruitment was therefore terminated.",120,43,FALSE,"2011-08-30","2017-12-13",2298,"Intovalue"
"NCT02585752","Low recruitment",20,20,FALSE,"2015-10-01","2017-09-30",731,"Intovalue"
"NCT02539680","insufficiant recruitment",30,18,FALSE,"2015-09-01","2017-10-01",762,"Intovalue"
"NCT02077309","bad recruitment of suitable participants, just 4 patients in one year",60,4,FALSE,"2014-08-01","2015-09-01",397,"Intovalue"
"NCT01941550","Investigator left the site. Site closed.",35,11,FALSE,"2013-07-01","2016-01-01",915,"Intovalue"
"NCT01888796","bad recruitment of suitable participants, just 8 patients in one year",60,8,FALSE,"2013-09-01","2014-12-01",457,"Intovalue"
"NCT01341106","insufficient patient numbers have been recruited",100,7,FALSE,"2011-04-01","2015-01-01",1372,"Intovalue"
"NCT01266187","Recruitment difficulities",430,16,FALSE,"2011-07-01","2015-09-01",1524,"Intovalue"
"NCT01262729","Feasibility and Recruitment problems",100,5,FALSE,"2011-09-01","2014-11-01",1158,"Intovalue"
"NCT01242956","Problem to recruit sufficient patient number",400,100,FALSE,"2011-09-01","2014-11-01",1158,"Intovalue"
"NCT02475252","Recruitment too slow; study completion not possible within frame",150,15,FALSE,"2015-04-01","2016-01-01",276,"Intovalue"
"NCT01402414","Difficulties with the Recruitement",50,10,FALSE,"2011-04-01","2014-02-01",1038,"Intovalue"
"NCT01563614","No patients can be recruited for this trial anymore due to other therapeutical approaches that became available.",9,1,FALSE,"2012-03-01","2015-11-01",1341,"Intovalue"
"NCT02726048","Fisher &amp; Paykel Healthcare placed an administrative hold on the Simplus and Eson Non-Invasive Ventilation Evaluation study being conducted at Charite, Berlin",40,4,FALSE,"2016-04-01","2017-07-01",457,"Intovalue"
"NCT02019498","Recruitment problems",220,50,FALSE,"2014-04-01","2016-02-01",672,"Intovalue"
"NCT01523938","no reason posted",120,72,FALSE,"2012-03-01","2014-04-01",762,"Intovalue"
"NCT01370044","results of interim analysis (not safety relevant)",288,96,FALSE,"2012-08-01","2015-06-01",1035,"Intovalue"
"NCT01259830","no reason posted",90,81,FALSE,"2011-03-01","2014-04-01",1128,"Intovalue"
"NCT02157363","poor recruitment due to change of surgical technique",73,47,FALSE,"2014-06-01","2017-06-01",1097,"Intovalue"
"NCT01146821","Low enrollment&#x2F; expiration of the grant",21,7,FALSE,"2013-10-01","2017-04-01",1279,"Intovalue"
"NCT02595840","Futility",4,4,FALSE,"2015-11-25","2017-11-20",727,"Intovalue"
"NCT02541357","Recruitment insufficient",108,4,FALSE,"2015-09-01","2017-03-01",548,"Intovalue"
"NCT02488694","unsufficient recruitment",210,4,FALSE,"2015-11-01","2017-12-01",762,"Intovalue"
"NCT02185703","Too slow recruitment rate",100,51,FALSE,"2014-07-01","2015-07-01",366,"Intovalue"
"NCT02150473","no reason posted",30,21,FALSE,"2014-10-01","2017-09-14",1080,"Intovalue"
"NCT01755871","lack of recruitment",250,8,FALSE,"2013-01-01","2016-01-01",1096,"Intovalue"
"NCT00977132","delayed recruitment",80,23,FALSE,"2009-10-01","2012-08-01",1036,"Intovalue"
"NCT01176214","slow recruitment of patients",100,7,FALSE,"2010-07-01","2014-04-01",1371,"Intovalue"
"NCT02081053","Difficulty Enrolling",40,30,FALSE,"2014-01-01","2016-11-01",1036,"Intovalue"
"NCT00945126","Poor accrural",45,68,FALSE,"2006-12-01","2017-08-01",3897,"Intovalue"
"NCT00711542","Slow recruitment",100,31,FALSE,"2008-09-01","2014-12-01",2283,"Intovalue"
"NCT01690572","recruitment was not sufficient.",30,14,FALSE,"2012-10-01","2016-12-01",1523,"Intovalue"
"NCT01517776","due to an altered benefit&#x2F;risk assessment.",33,28,FALSE,"2012-01-01","2014-03-01",791,"Intovalue"
"NCT01060423","Terminated due to poor subject enrolment",80,8,FALSE,"2010-02-01","2011-12-01",669,"Intovalue"
"NCT01045512","unsufficient recruitment",400,96,FALSE,"2009-10-01","2014-09-01",1797,"Intovalue"
"NCT02818959","Due to inability to recruit sufficient sample size in reasonable time frame.",7,7,FALSE,"2013-12-01","2014-03-01",91,"Intovalue"
"NCT02606799","No further recruitment possible due to changed conditions",24,5,FALSE,"2016-05-01","2017-04-01",336,"Intovalue"
"NCT02417103","Recruiting failure",30,2,FALSE,"2011-12-01","2016-09-01",1737,"Intovalue"
"NCT02071511","The Sponsor appreciate the devastating impact that the results of the SYMPLICITY HTN 3 trial had on research progress for renal denervation. Based on the lack of recent progress, it is no longer practical to maintain the agreement.",50,50,FALSE,"2014-01-01","2016-01-01",731,"Intovalue"
"NCT01887041","Recruiting problems",128,24,FALSE,"2010-01-01","2015-12-01",2161,"Intovalue"
"NCT01759238","unexpectedly slow recruitment",72,1,FALSE,"2013-05-01","2014-10-01",519,"Intovalue"
"NCT01021202","unexpectedly slow recruitment",40,23,FALSE,"2009-10-01","2014-04-01",1644,"Intovalue"
"NCT00858793","A leukaemia case was reported in patient treated with a similar vector. For safety risk we stopped recruitment",10,5,FALSE,"2008-11-28","2016-08-31",2834,"Intovalue"
"NCT02728453","Insufficient recruitment.",60,7,FALSE,"2016-04-27","2017-09-25",517,"Intovalue"
"NCT02374567","no reason posted",2000,407,FALSE,"2015-01-01","2017-06-28",910,"Intovalue"
"NCT01336530","The study stopped prematurely due to and administrative reasons, not based on grounds of safety.",810,40,FALSE,"2011-04-01","2017-01-01",2103,"Intovalue"
"NCT01117662","The planned recruitment number of 180 Patient could not been achieved.",118,13,FALSE,"2012-05-01","2016-05-01",1462,"Intovalue"
"NCT02772146","After 2 patients it was concluded that a large change in exclusion criteria and study design was needed to obtain the ojective for the study",16,2,FALSE,"2016-05-11","2017-01-23",258,"Intovalue"
"NCT02130128","Sufficient clinical evidence was gathered",10,6,FALSE,"2014-04-01","2014-12-01",245,"Intovalue"
"NCT01666600","Interim Analysis for Feasibility",90,63,FALSE,"2012-08-01","2017-03-01",1674,"Intovalue"
"NCT01617980","Slow accrual",15,4,FALSE,"2012-04-01","2014-03-01",700,"Intovalue"
"NCT01362582","no reason posted",120,32,FALSE,"2010-03-01","2014-08-01",1615,"Intovalue"
"NCT00753441","Low patient accrual",100,24,FALSE,"2009-02-01","2017-08-16",3119,"Intovalue"
"NCT01522612","poor accrual",150,5,FALSE,"2013-04-01","2015-03-01",700,"Intovalue"
"NCT02641782","Antibody supply was discontinued by United Therapeutics Corporation.",36,3,FALSE,"2015-11-01","2016-12-23",419,"Intovalue"
"NCT02891863","Futility",9,9,TRUE,"2015-09-01","2016-03-01",183,"Intovalue"
"NCT02523859","Poor recruitment",530,25,FALSE,"2015-07-01","2016-06-01",337,"Intovalue"
"NCT00595647","insufficient enrollment",240,162,FALSE,"2008-02-01","2014-03-01",2221,"Intovalue"
"NCT02039167","The recruitment rate was very poor. The study was stopped by amendment on 2015-08-28.",300,14,FALSE,"2014-01-01","2017-03-21",1176,"Intovalue"
"NCT02594332","recruitment problems",90,29,FALSE,"2015-11-17","2017-05-22",553,"Intovalue"
"NCT01340690","The sample size of the planned interims analysis was achieved",438,284,FALSE,"2011-03-08","2016-03-31",1851,"Intovalue"
"NCT00659867","Recruitment problems",200,182,FALSE,"2008-12-01","2014-03-01",1917,"Intovalue"
"NCT02312479","no reason posted",15,6,FALSE,"2014-12-01","2015-11-01",336,"Intovalue"
"NCT00834314","extended obligations of amended medical device law in Germany 2010 did not allow to continue and complete the trial due to budget limitation",20,3,FALSE,"2010-02-01","2014-05-01",1551,"Intovalue"
"NCT02675816","Study halted due to low recruitment. Reimbursement changes require a larger study with additional centers and therefore, a new study planned as replacement.",40,16,FALSE,"2015-08-01","2016-07-01",336,"Intovalue"
"NCT02139098","Recruiting problems because of the time expenditure required for participating and the strict criteria of inclusion and exclusion",150,23,FALSE,"2014-05-01","2017-11-01",1281,"Intovalue"
"NCT02207309","poor recruitment",150,1,FALSE,"2015-06-22","2016-07-29",404,"Intovalue"
"NCT01690325","Therapy of HER2+ patients according to protocol was no longer appropriate. Patient enrolment behind planned schedule and challenges of site performance",94,21,FALSE,"2012-09-01","2016-11-01",1523,"Intovalue"
"NCT01439958","Core study 12011.201 was terminated.",75,14,FALSE,"2012-02-01","2013-07-01",517,"Intovalue"
"NCT01419002","lack of recruitment",120,5,FALSE,"2011-10-01","2014-10-01",1097,"Intovalue"
"NCT01407679","no reason posted",30,7,FALSE,"2011-08-01","2014-10-01",1158,"Intovalue"
"NCT01303250","The final decision of the review of HES-containing solution shall be awaited.",170,31,FALSE,"2011-04-01","2015-04-01",1462,"Intovalue"
"NCT00413127","Less patients than expected for inclusion, therefore patient recruitment is to low",150,78,FALSE,"2007-09-01","2014-03-01",2374,"Intovalue"
"NCT02058810","Lack of patients, PI left",100,46,FALSE,"2010-09-01","2014-05-01",1339,"Intovalue"
"NCT02739685","Slow enrollment, access to devices",144,17,FALSE,"2016-09-01","2018-05-01",608,"Intovalue"
"NCT02632292","Slow enrollment",224,33,FALSE,"2016-01-01","2018-04-01",822,"Intovalue"
"NCT01312623","Terminated, because it is not possible to recruit enough participants",180,31,FALSE,"2010-03-01","2016-03-01",2193,"Intovalue"
"NCT02140138","Recruitment was terminated after enrolment of 35 instead of 36 evaluable patients for administrative reasons.",36,35,FALSE,"2014-06-01","2016-04-01",671,"Intovalue"
"NCT01683864","Recruitment problems",60,3,TRUE,"2012-09-01","2015-05-01",973,"Intovalue"
"NCT01582048","slow enrollment",60,9,FALSE,"2012-04-01","2016-08-17",1600,"Intovalue"
"NCT01289938","To unsuccessful recruitment of rare UM-genotype. All other planned genotype groups are completed (EM, IM and PM).",42,49,FALSE,"2009-07-01","2015-06-01",2162,"Intovalue"
"NCT00961142","slow recruitment",60,23,FALSE,"2009-06-01","2015-12-30",2404,"Intovalue"
"NCT02198482","development program of study drug volasertib was stopped by Boehringer Ingelheim due to manufacturing problems",352,6,FALSE,"2016-02-01","2016-11-01",275,"Intovalue"
"NCT01837082","Insufficient recruitment",100,18,FALSE,"2013-04-01","2015-12-01",975,"Intovalue"
"NCT01397149","Insufficient recruitment",82,4,FALSE,"2011-10-01","2013-11-01",763,"Intovalue"
"NCT01611207","The patient recruitment was behind target, no successful completion of the planned patient numbers within trial period could be expected",250,12,FALSE,"2012-06-01","2013-12-01",549,"Intovalue"
"NCT01165450","Drug manufacturer could not supply study drug.",72,2,TRUE,"2011/11/01 00:00:00","2014-02-01",824,"Contrast"
"NCT00506909","Break in funding",40,21,TRUE,"2008/03/01 00:00:00","2014-03-01",2192,"Contrast"
"NCT00470548","Practice patterns with pemetrexed have evolved.",73,49,TRUE,"2007/04/01 00:00:00","2014-10-01",2741,"Contrast"
"NCT01614067","Slow enrollment resulted in withdraw of funding",114,30,TRUE,"2012/05/01 00:00:00","2014-07-01",792,"Contrast"
"NCT01061671","Futility",1126,885,TRUE,"2010/03/01 00:00:00","2014-01-01",1403,"Contrast"
"NCT02566278","Data collection has been halted. We are not recruiting any more subjects.",20,20,FALSE,"2015/10/20 00:00:00","2016-07-25",280,"Contrast"
"NCT01373918","The study was terminated due to slow enrollment.",120,41,TRUE,"2010/12/01 00:00:00","2014-07-01",1309,"Contrast"
"NCT02120027","Because of negative results of the sister study NAK-06 and the low overall response rate at week 24.",500,558,TRUE,"2014/02/01 00:00:00","2015-10-01",580,"Contrast"
"NCT01963403","Futility of recruitment",130,26,TRUE,"2013/12/01 00:00:00","2015-08-01",609,"Contrast"
"NCT01123161","The ICTuS 2 portion of the trial has been halted and data will be analyzed.",400,120,TRUE,"2010/06/01 00:00:00","2015-04-01",1766,"Contrast"
"NCT01261299","Contract ended",80,21,FALSE,"2010/12/01 00:00:00","2017-06-01",2375,"Contrast"
